UBP1	828
NFYA	828.4
DLX4	828.8
ZNF766	830.5
ZNF83	830.8
TIGD4	831
TBX19	832
ZNF682	833.3
SHOX	834.3
POU4F3	834.3
ASCL3	835.7
MLX	836
BHLHA9	836
SNAPC2	836.5
RFX2	836.5
ZNF836	836.7
ZNF662	837
ZNF383	837.3
ADNP	837.5
RORC	837.7
ZFP42	839
ZSCAN5A	839.3
TFAP2E	839.7
ZNF750	840.5
MYF6	841.3
ZFP14	844.7
PTF1A	845
FOXR2	845.7
ATF5	846.3
ZNF589	847.5
HMX1	849
CEBPZ	849.4
ISX	850.3
DMBX1	852.7
UNCX	853
CREB3	853.3
FOXK1	853.8
SPIB	853.8
ZNF501	854
ZNF610	854
ZNF775	854
ZNF785	855
HOXC12	855.3
HOXB1	855.3
MLXIP	855.3
ZNF84	855.7
ZNF286A	856
ZNF181	856.7
ZNF782	857
ZNF350	857
ZNF556	857.3
IRF6	858
TRAFD1	860.3
ZNF821	860.7
SCRT1	861
ZFP2	862.3
ZNF318	862.8
ZNF675	863.7
PRDM2	864
ASH1L	864
HSFY2	864.5
ZNF441	864.7
TCFL5	865
DLX3	865
HMG20A	865.3
ZNF497	865.3
ZNF543	866
TIGD6	866.7
ZNF41	866.7
SPEN	867.5
ZNF778	868
NR2F6	868.8
PROP1	869
MECP2	869.7
ZFP92	870
DMRTA2	870
ZNF8	871
THYN1	872
SIX3	872
ZNF717	872.7
BAZ2B	873
ZNF223	874
IRF3	874
ZNF625	875
OVOL1	876
ZNF18	877.7
KDM2A	878
ZNF700	878.7
ZNF732	880
ZNF597	880.3
ZNF709	881
AKAP8	882.7
RHOXF2	884
ZNF23	884.3
ZNF346	885
ZNF547	886.3
NAIF1	888.5
ZNF420	889
NRL	889
PHF20	889.3
MYRFL	889.5
ZNF585A	890.3
ZNF615	890.3
ZNF566	890.3
ZNF726	890.5
ZNF568	891.7
PA2G4	892.5
THAP2	893
TFAP2D	893.7
ZNF276	894
ZNF35	896
ZNF512	897.7
OTX1	897.7
ZNF251	898.3
HES2	900
ZNF841	900.3
ZNF718	900.3
HES7	900.7
BHLHE23	901
E2F2	901.3
ZNF701	903.7
ZNF506	904.3
ZNF549	904.7
TIGD7	904.7
MAZ	905.4
ZNF81	906
ZGLP1	906
TP73	907
E2F5	909.3
ZNF573	909.3
ZNF33B	909.7
SIM2	910.3
BRF2	911.3
ZBTB12	912.3
ZNF207	913
KAT7	913
ZNF189	914
ZNF510	914.7
KMT2B	915
ZNF333	915.3
ZNF461	915.3
BPTF	915.5
ZNF226	916
POU2F3	916
TBPL2	916.5
ZNF250	916.7
FOXB1	917.3
PRDM15	917.3
ZFP64	918.7
SIX6	919.3
ZNF266	919.7
HIC2	920.3
ZNF784	921.3
TIGD2	921.7
ZBTB1	922
RXRG	922.7
